Spring Mobile - AT&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comp,1/31/2016,,8/27/2017,,,,NA
Store #,Store Name,Address,City,State,Zip,Market,Region,District,State,Open Date,Market VP,Region Director,District Manager,,Classification,Acquisition Name,Store Tier, Sq Ft , Sq Ft Range ,Closed Date,Status,Attribute,Base?,Comp?,Same?,,,1396,,,,Same,8/28/2016,,,,,,Base
1017,NorthEast Plaza,508 Northeast Plaza,NorthEast,MD,21901,Northeast Market,Liberty States Region,Delaware,Maryland,4/1/2014,Kirby Loeck,Ryan Flack,Andy Tavolario,,Acquisition,Mobile Comm,3,"1,500", 1000-1500 ,,Open,Acquisition - Mobile Comm,,x,x,3,,,,,,,,,,,,,
1018,Hanover,"1155 Carlisle Street, #217",Hanover,PA,17331,Northeast Market,Liberty States Region,Philly West,Pennsylvania,4/1/2014,Kirby Loeck,Ryan Flack,Rob Kanowicz,,Acquisition,Mobile Comm,2,"1,120", 1000-1500 ,,Open,Acquisition - Mobile Comm,,x,x,3,,,,,,,,,,,,,
1019,Lancaster,6330 Park City Center,Lancaster,PA,17601,Northeast Market,Liberty States Region,Philly West,Pennsylvania,4/1/2014,Kirby Loeck,Ryan Flack,Rob Kanowicz,,Acquisition,Mobile Comm,5,120, 0-500 ,,Open,Acquisition - Mobile Comm,,x,x,5,,,,,,,,,,,,,
1020,Seaford,22800 Sussex Highway,Seaford,DE,19973,Northeast Market,Liberty States Region,Delaware,Delaware,4/1/2014,Kirby Loeck,Ryan Flack,Andy Tavolario,,Acquisition,Mobile Comm,1,"2,400", 2000-2500 ,,Open,Acquisition - Mobile Comm,,x,x,1,,,,,,,,,,,,,
1021,Sinking Springs,4864 Penn Ave,Sinking Springs,PA,19608,Northeast Market,Liberty States Region,Harly,Pennsylvania,4/1/2014,Kirby Loeck,Ryan Flack,Gary Taylor,,Acquisition,Mobile Comm,5,"1,600", 1500-2000 ,,Open,Acquisition - Mobile Comm,,x,x,5,,,,,,,,,,,,,
1022,Springfield,"1250 Baltimore Pike, #7792",Springfield,PA,19064,Northeast Market,Liberty States Region,Philly West,Pennsylvania,4/1/2014,Kirby Loeck,Ryan Flack,Rob Kanowicz,,Acquisition,Mobile Comm,3,982, 500-1000 ,,Open,Acquisition - Mobile Comm,,x,x,4,,,,,,,,,,,,,
1023,York Galleria,"2899 Whiteford Rd, Ste. 134",York,PA,17402,,,,,4/1/2014,,,,,Acquisition,Mobile Comm,,,,6/30/2017,Closed,Acquisition - Mobile Comm,,,,5,,,,,,,,,,,,,
1024,Elkton,115A Big Elk Mall,Elkton,MD,21921,Northeast Market,Liberty States Region,Delaware,Maryland,4/1/2014,Kirby Loeck,Ryan Flack,Andy Tavolario,,WS,Mobile Comm,4,"1,500", 1000-1500 ,,Open,WS - Mobile Comm,,x,x,4,,,,,,,,,,,,,
1025,Camden,4598 South DuPont Highway,Dover,DE,19901,Northeast Market,Liberty States Region,Delaware,Delaware,12/31/2014,Kirby Loeck,Ryan Flack,Andy Tavolario,,WS,FY2014,3,"1,625", 1500-2000 ,,Open,WS - FY2014,,x,x,3,,,,,,,,,,,,,
1026,Ocean County Mall,1201 Hooper Ave. Ste. 1057A,Toms River,NJ,8753,Northeast Market,NYNJ Region,New Jersey South,New Jersey,12/17/2014,Kirby Loeck,Joe Kjose,Keith Fortus,,WS,FY2014,2,"1,400", 1000-1500 ,,Open,WS - FY2014,,x,x,3,,,,,,,,,,,,,
1027,Broad Street,2201 S Broad Street,Philadelphia,PA,19148,Northeast Market,Liberty States Region,Philly West,Pennsylvania,11/19/2014,Kirby Loeck,Ryan Flack,Rob Kanowicz,,WS,FY2014,3,"1,320", 1000-1500 ,,Open,WS - FY2014,,x,x,3,,,,,,,,,,,,,
1028,Monroe,520 New York 17M,Monroe,NY,10950,Northeast Market,NYNJ Region,Upstate New York,New York,10/1/2014,Kirby Loeck,Joe Kjose,Jeanie Jones,,Acquisition,Product Center,4,"2,500", 2000-2500 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1029,Monticello,125 Jefferson Street,Monticello,NY,12701,Northeast Market,NYNJ Region,Upstate New York,New York,10/1/2014,Kirby Loeck,Joe Kjose,Jeanie Jones,,Acquisition,Product Center,4,"2,514", 2500-3000 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1030,Fishkill,703 Route 9,Fishkill,NY,12524,Northeast Market,NYNJ Region,Upstate New York,New York,10/1/2014,Kirby Loeck,Joe Kjose,Jeanie Jones,,Acquisition,Product Center,3,"1,285", 1000-1500 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1031,Kingston,1300 Ulster Avenue,Kingston,NY,12401,Northeast Market,NYNJ Region,Upstate New York,New York,10/1/2014,Kirby Loeck,Joe Kjose,Jeanie Jones,,Acquisition,Product Center,4,"1,999", 1500-2000 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1032,Malta,13 Kendall Way,Malta,NY,12020,Northeast Market,NYNJ Region,Upstate New York,New York,10/1/2014,Kirby Loeck,Joe Kjose,Jeanie Jones,,Acquisition,Product Center,5,"2,075", 2000-2500 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1033,Wallingford,893 N Colony Rd. Unit D,Wallingford,CT,6492,Northeast Market,New England Region,Connecticut Central,Connecticut,10/1/2014,Kirby Loeck,Josh Mailloux,Arthur DeSisto,,Acquisition,Product Center,4,"1,715", 1500-2000 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1034,Stratford,1279 West Broad Street,Stratford,CT,6615,Northeast Market,New England Region,Connecticut West,Connecticut,10/1/2014,Kirby Loeck,Josh Mailloux,Kevin Elmes,,Acquisition,Product Center,4,703, 500-1000 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1036,Waterbury,2457 East Main Street,Waterbury,CT,6705,Northeast Market,New England Region,Connecticut Central,Connecticut,10/1/2014,Kirby Loeck,Josh Mailloux,Arthur DeSisto,,Acquisition,Product Center,3,"1,500", 1000-1500 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1037,Winsted,200 New Hartford Road,Winsted,CT,6098,Northeast Market,New England Region,Connecticut Central,Connecticut,10/1/2014,Kirby Loeck,Josh Mailloux,Arthur DeSisto,,Acquisition,Product Center,4,"2,033", 2000-2500 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1038,Plainville,282 New Britain Ave,Plainville,CT,6062,Northeast Market,New England Region,Connecticut Central,Connecticut,10/1/2014,Kirby Loeck,Josh Mailloux,Arthur DeSisto,,Acquisition,Product Center,4,"2,000", 1500-2000 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1039,Wethersfield,1088 Silas Deane Highway,Wethersfield,CT,6109,Northeast Market,New England Region,Connecticut Central,Connecticut,10/1/2014,Kirby Loeck,Josh Mailloux,Arthur DeSisto,,Acquisition,Product Center,3,"1,600", 1500-2000 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1040,Charter Oak Marketplace,67 William Shorty Campbell Street,Hartford,CT,6106,Northeast Market,New England Region,Connecticut Central,Connecticut,10/1/2014,Kirby Loeck,Josh Mailloux,Arthur DeSisto,,Acquisition,Product Center,4,"1,600", 1500-2000 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1041,Windsor,1095 Kennedy Rd. Suite 7A,Windsor,CT,6095,Northeast Market,New England Region,Connecticut East,Connecticut,10/1/2014,Kirby Loeck,Josh Mailloux,Brett Fowler,,Acquisition,Product Center,4,"2,220", 2000-2500 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1042,Willimantic,1325 Main Street,Willimantic,CT,6226,Northeast Market,New England Region,Connecticut East,Connecticut,10/1/2014,Kirby Loeck,Josh Mailloux,Brett Fowler,,Acquisition,Product Center,3,"1,290", 1000-1500 ,,Open,Acquisition - Product Center,,x,x,3,,,,,,,,,,,,,
1043,Lisbon,160 River Road,Lisbon,CT,6351,Northeast Market,New England Region,Connecticut East,Connecticut,10/1/2014,Kirby Loeck,Josh Mailloux,Brett Fowler,,Acquisition,Product Center,2,"2,056", 2000-2500 ,,Open,Acquisition - Product Center,,x,x,3,,,,,,,,,,,,,
1044,Killingly,1111 Killingly Commons Drive,Dayville,CT,6241,Northeast Market,New England Region,Connecticut East,Connecticut,10/1/2014,Kirby Loeck,Josh Mailloux,Brett Fowler,,Acquisition,Product Center,1,"1,072", 1000-1500 ,,Open,Acquisition - Product Center,,x,x,1,,,,,,,,,,,,,
1045,Livingston Mall,112 Eisenhower Parkway,Livingston,NJ,7039,Northeast Market,NYNJ Region,New Jersey North,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,John Cruz,,Acquisition,Product Center,4,925, 500-1000 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1046,West Caldwell,760 Bloomfield Avenue,West Caldwell,NJ,7006,Northeast Market,NYNJ Region,New Jersey North,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,John Cruz,,Acquisition,Product Center,3,"2,240", 2000-2500 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1048,Roseland,35B Eishenhower Pkwy,Roseland,NJ,7068,Northeast Market,NYNJ Region,New Jersey North,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,John Cruz,,Acquisition,Product Center,5,"1,554", 1500-2000 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1049,Ledgewood,450 New Jersey 10,Ledgewood,NJ,7852,Northeast Market,NYNJ Region,New Jersey North,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,John Cruz,,Acquisition,Product Center,2,"1,500", 1000-1500 ,,Open,Acquisition - Product Center,,x,x,3,,,,,,,,,,,,,
1050,Wayne,1616 State Route 23,Wayne,NJ,7470,Northeast Market,NYNJ Region,New Jersey North,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,John Cruz,,Acquisition,Product Center,4,"2,018", 2000-2500 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1051,Carlstadt,508 Route 17 South,Carlstadt,NJ,7072,Northeast Market,NYNJ Region,New Jersey North,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,John Cruz,,Acquisition,Product Center,3,"3,200", Above 3000 ,,Open,Acquisition - Product Center,,x,x,3,,,,,,,,,,,,,
1052,Bergen Mall,"1 Bergen Town Center, Ste 2701",Paramus,NJ,7652,Northeast Market,NYNJ Region,Hudson North,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,Mohammad Makhlouf,,Acquisition,Product Center,3,954, 500-1000 ,,Open,Acquisition - Product Center,,x,x,3,,,,,,,,,,,,,
1053,Paramus Park,700 Paramus Park Mall,Paramus,NJ,7652,Northeast Market,NYNJ Region,Hudson North,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,Mohammad Makhlouf,,Acquisition,Product Center,5,778, 500-1000 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1054,Thornwood,978 Broadway,Thornwood,NY,10594,Northeast Market,NYNJ Region,Hudson North,New York,10/1/2014,Kirby Loeck,Joe Kjose,Mohammad Makhlouf,,Acquisition,Product Center,4,"1,400", 1000-1500 ,9/12/2017,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1055,Franklin Lakes,842 Franklin Avenue,Franklin Lakes,NJ,7417,Northeast Market,NYNJ Region,Hudson North,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,Mohammad Makhlouf,,Acquisition,Product Center,5,"1,386", 1000-1500 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1056,Ramsey,88 East Main Street,Ramsey,NJ,7446,Northeast Market,NYNJ Region,Hudson North,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,Mohammad Makhlouf,,Acquisition,Product Center,4,825, 500-1000 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1057,Bound Brook,500 West Union Avenue,Bound Brook,NJ,8805,Northeast Market,NYNJ Region,New Jersey South,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,Keith Fortus,,Acquisition,Product Center,4,"1,523", 1500-2000 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1058,Piscataway,1298 Centennial Avenue,Piscataway,NJ,8854,Northeast Market,NYNJ Region,New Jersey South,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,Keith Fortus,,Acquisition,Product Center,1,920, 500-1000 ,,Open,Acquisition - Product Center,,x,x,1,,,,,,,,,,,,,
1059,Edison,894 Route 1 North,Edison,NJ,8817,Northeast Market,NYNJ Region,New Jersey South,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,Keith Fortus,,Acquisition,Product Center,3,875, 500-1000 ,,Open,Acquisition - Product Center,,x,x,3,,,,,,,,,,,,,
1060,Old Bridge,1054 US Highway 9,Parlin,NJ,8859,Northeast Market,NYNJ Region,New Jersey South,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,Keith Fortus,,Acquisition,Product Center,3,"1,600", 1500-2000 ,,Open,Acquisition - Product Center,,x,x,3,,,,,,,,,,,,,
1061,Lakewood,"1700 Madison Avenue, Suite 110",Lakewood,NJ,8701,Northeast Market,NYNJ Region,New Jersey South,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,Keith Fortus,,Acquisition,Product Center,5,"1,500", 1000-1500 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1063,Phillipsburg Mall,"1200 US Highway 22, Suite 215",Phillipsburg,NJ,8865,Northeast Market,NYNJ Region,New Jersey South,New Jersey,10/1/2014,Kirby Loeck,Joe Kjose,Keith Fortus,,Acquisition,Product Center,3,"1,993", 1500-2000 ,,Open,Acquisition - Product Center,,x,x,3,,,,,,,,,,,,,
1064,Phillipsburg,756-768 Memorial Parkway,Phillipsburg,NJ,8865,Northeast Market,NYNJ Region,New Jersey South,New Jersey,10/11/2014,Kirby Loeck,Joe Kjose,Keith Fortus,,Acquisition,Product Center,5,"1,721", 1500-2000 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1065,Ridgewood,56-43 Myrtle Avenue,Ridgewood,NY,11385,Northeast Market,NYNJ Region,New York,New York,10/1/2014,Kirby Loeck,Joe Kjose,Anastassia Ramelize,,Acquisition,Product Center,4,575, 500-1000 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1066,Bayside,42-28 Bell Blvd,Bayside,NY,11361,Northeast Market,NYNJ Region,Long Island Central,New York,10/1/2014,Kirby Loeck,Joe Kjose,Scott Weiss,,Acquisition,Product Center,4,780, 500-1000 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1067,Ralph Ave,2152A Ralph Avenue,Brooklyn,NY,11234,Northeast Market,NYNJ Region,New York,New York,10/1/2014,Kirby Loeck,Joe Kjose,Anastassia Ramelize,,Acquisition,Product Center,3,"1,260", 1000-1500 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1068,Park Slope,242 7th Avenue,Brooklyn,NY,11215,Northeast Market,NYNJ Region,New York,New York,10/1/2014,Kirby Loeck,Joe Kjose,Anastassia Ramelize,,Acquisition,Product Center,4,656, 500-1000 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1069,Bensonhurst,6707 18th Avenue,Brooklyn,NY,11204,Northeast Market,NYNJ Region,New York,New York,10/1/2014,Kirby Loeck,Joe Kjose,Anastassia Ramelize,,Acquisition,Product Center,5,"1,260", 1000-1500 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1070,Coney Island Ave,1369 Coney Island Avenue,Brooklyn,NY,11230,Northeast Market,NYNJ Region,New York,New York,10/1/2014,Kirby Loeck,Joe Kjose,Anastassia Ramelize,,Acquisition,Product Center,5,620, 500-1000 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1071,Bellmore,1923 Bellmore Avenue,Bellmore,NY,11710,Northeast Market,NYNJ Region,Long Island Central,New York,10/1/2014,Kirby Loeck,Joe Kjose,Scott Weiss,,Acquisition,Product Center,4,"5,000", Above 3000 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1072,Merrick,235 Sunrise Highway,Merrick,NY,11566,Northeast Market,NYNJ Region,Long Island Central,New York,10/1/2014,Kirby Loeck,Joe Kjose,Scott Weiss,,Acquisition,Product Center,2,"2,400", 2000-2500 ,,Open,Acquisition - Product Center,,x,x,3,,,,,,,,,,,,,
1073,Long Beach,100 West Park Avenue,Long Beach,NY,11561,Northeast Market,NYNJ Region,Long Island Central,New York,10/1/2014,Kirby Loeck,Joe Kjose,Scott Weiss,,Acquisition,Product Center,2,800, 500-1000 ,,Open,Acquisition - Product Center,,x,x,3,,,,,,,,,,,,,
1075,Rockville Centre,237 Sunrise Highway,Rockville Centre,NY,11570,Northeast Market,NYNJ Region,Long Island Central,New York,10/1/2014,Kirby Loeck,Joe Kjose,Scott Weiss,,Acquisition,Product Center,2,"1,059", 1000-1500 ,,Open,Acquisition - Product Center,,x,x,3,,,,,,,,,,,,,
1076,Bayshore,583 E Main Street,Bay shore,NY,11706,Northeast Market,NYNJ Region,Long Island East,New York,10/1/2014,Kirby Loeck,Joe Kjose,Shai Azoulay,,Acquisition,Product Center,4,"1,500", 1000-1500 ,,Open,Acquisition - Product Center,,x,x,4,,,,,,,,,,,,,
1077,Plainview,633 Old Country Road,Plainview,NY,11803,Northeast Market,NYNJ Region,Long Island Central,New York,10/1/2014,Kirby Loeck,Joe Kjose,Scott Weiss,,Acquisition,Product Center,5,"1,250", 1000-1500 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1078,Hampton Bays,61 West Montauk Highway,Hampton Bays,NY,11946,Northeast Market,NYNJ Region,Long Island East,New York,10/1/2014,Kirby Loeck,Joe Kjose,Shai Azoulay,,Acquisition,Product Center,2,650, 500-1000 ,,Open,Acquisition - Product Center,,x,x,3,,,,,,,,,,,,,
1079,East Northport,1948 Jericho Turnpike,East Northport,NY,11731,Northeast Market,NYNJ Region,Long Island East,New York,10/1/2014,Kirby Loeck,Joe Kjose,Shai Azoulay,,Acquisition,Product Center,5,540, 500-1000 ,,Open,Acquisition - Product Center,,x,x,5,,,,,,,,,,,,,
1080,Riverhead,1111 Old Country Road,Riverhead,NY,11901,Northeast Market,NYNJ Region,Long Island East,New York,10/1/2014,Kirby Loeck,Joe Kjose,Shai Azoulay,,Acquisition,Product Center,1,"1,650", 1500-2000 ,,Open,Acquisition - Product Center,,x,x,1,,,,,,,,,,,,,
1081,Cos Cob,"409 E. Putnam Ave, Space 1057A",Cos Cob,CT,6087,Northeast Market,New England Region,Connecticut West,Connecticut,12/31/2014,Kirby Loeck,Josh Mailloux,Kevin Elmes,,WS,FY2014,4,"1,521", 1500-2000 ,,Open,WS - FY2014,,x,x,5,,,,,,,,,,,,,
1082,Miracle Strip,9998A Front Beach Road,Panama City,FL,32406,South Market,Florida Gulf Region,Mississippi South,Florida,11/11/2015,Brady Bowen,Mitch Nelson,Evan Nguyen,,WS,Radio Shack Flip,3,"2,800", 2500-3000 ,,Open,WS - Radio Shack Flip,,x,x,3,,,,,,,,,,,,,
1083,Norwalk,384 Westport Ave,Westport,CT,6851,Northeast Market,New England Region,Connecticut West,Connecticut,2/18/2015,Kirby Loeck,Josh Mailloux,Kevin Elmes,,WS,FY2015,3,"1,729", 1500-2000 ,,Open,WS - FY2015,,x,x,4,,,,,,,,,,,,,
1084,Wappinger Falls,1574 Route 9,Wappingers Falls,NY,12590,Northeast Market,NYNJ Region,Upstate New York,New York,3/11/2015,Kirby Loeck,Joe Kjose,Jeanie Jones,,WS,FY2015,5,"2,216", 2000-2500 ,,Open,WS - FY2015,,x,x,5,,,,,,,,,,,,,
1085,North Haven,168 Washtington Ave Suite A,North Haven,CT,6473,,,,Connecticut,2/3/2015,,,,,WS,FY2015,,,,1/28/2017,FY16 Closure,WS - FY2015,,,,,,,,,,,,,,,,,
1086,Waterford,106 Boston Post Rd,Waterford,CT,6385,Northeast Market,New England Region,Connecticut East,Connecticut,12/19/2014,Kirby Loeck,Josh Mailloux,Brett Fowler,,WS,FY2014,5,"2,000", 1500-2000 ,,Open,WS - FY2014,,x,x,5,,,,,,,,,,,,,
1087,Derby,"74 Pershing Drive, Ste 3",Derby,CT,6418,Northeast Market,New England Region,Connecticut West,Connecticut,10/12/2016,Kirby Loeck,Josh Mailloux,Kevin Elmes,,WS,FY2016,4,"1,400", 1000-1500 ,,Open,WS - FY2016,,,,3,,,,,,,,,,,,,
1088,Danbury,"4 Backus Ave, Ste. B",Danbury,CT,6810,Northeast Market,New England Region,Connecticut West,Connecticut,4/3/2015,Kirby Loeck,Josh Mailloux,Kevin Elmes,,WS,FY2015,5,"1,420", 1000-1500 ,,Open,WS - FY2015,,x,x,5,,,,,,,,,,,,,
1089,Wilmington,2090 Naamans Rd.,Wilmington,DE,19810,Northeast Market,Liberty States Region,Philly West,Delaware,12/31/2014,Kirby Loeck,Ryan Flack,Rob Kanowicz,,WS,FY2014,4,"2,500", 2000-2500 ,,Open,WS - FY2014,,x,x,4,,,,,,,,,,,,,
1090,Center City,110 S 18th Street,Philadelphia,PA,19103,,,,Pennsylvania,11/1/2014,,,,,Acquisition,Cellstar,,,,3/31/2017,Closed,Acquisition - Cellstar,,,,4,,,,,,,,,,,,,
1091,Feasterville,2 Bustleton Pike,Trevose,PA,19053,Northeast Market,Liberty States Region,Philly North,Pennsylvania,11/1/2014,Kirby Loeck,Ryan Flack,Ozair Panah,,Acquisition,Cellstar,2,"1,100", 1000-1500 ,,Open,Acquisition - Cellstar,,x,x,3,,,,,,,,,,,,,
1092,Hatfield,1250 Bethlehem Pike,Hatfield,PA,19440,Northeast Market,Liberty States Region,Philly North,Pennsylvania,11/1/2014,Kirby Loeck,Ryan Flack,Ozair Panah,,Acquisition,Cellstar,3,"2,688", 2500-3000 ,,Open,Acquisition - Cellstar,,x,x,3,,,,,,,,,,,,,
1093,Hellertown,1868 Leithsville Road,Hellertown,PA,18055,Northeast Market,Liberty States Region,Philly North,Pennsylvania,11/1/2014,Kirby Loeck,Ryan Flack,Ozair Panah,,Acquisition,Cellstar,4,"1,600", 1500-2000 ,,Open,Acquisition - Cellstar,,x,x,4,,,,,,,,,,,,,
1094,Souderton,770 Route 113,Souderton,PA,18964,Northeast Market,Liberty States Region,Philly North,Pennsylvania,11/1/2014,Kirby Loeck,Ryan Flack,Ozair Panah,,Acquisition,Cellstar,1,"1,400", 1000-1500 ,,Open,Acquisition - Cellstar,,x,x,2,,,,,,,,,,,,,
1095,Hershey,1136 Mae Street Unit 1B,Hummelstown,PA,17036,Northeast Market,Liberty States Region,Harly,Pennsylvania,12/31/2014,Kirby Loeck,Ryan Flack,Gary Taylor,,WS,FY2014,2,"2,455", 2000-2500 ,,Open,WS - FY2014,,x,x,3,,,,,,,,,,,,,
1096,Selinsgrove,"1597 N Susquehanna Trail, Ste 2",Selinsgrove,PA,17870,Northeast Market,Liberty States Region,Harly,Pennsylvania,3/23/2016,Kirby Loeck,Ryan Flack,Gary Taylor,,WS,FY2016,4,"2,400", 2000-2500 ,,Open,WS - FY2016,,,x,5,,,,,,,,,,,,,
1097,Berlin,"330 Rt 73 North, Ste A",West Berlin,NJ,8091,Northeast Market,Liberty States Region,Philly,New Jersey,1/1/2015,Kirby Loeck,Ryan Flack,Javier Janeiro,,Acquisition,National Telecom,4,"1,700", 1500-2000 ,,Open,Acquisition - National Telecom,,x,x,5,,,,,,,,,,,,,
1098,Middletown,280 Dove Run Center Blvd,Middletown,DE,19709,Northeast Market,Liberty States Region,Delaware,Delaware,1/1/2015,Kirby Loeck,Ryan Flack,Andy Tavolario,,Acquisition,National Telecom,3,"1,600", 1500-2000 ,,Open,Acquisition - National Telecom,,x,x,4,,,,,,,,,,,,,
1100,Somers Point,520 New Road,Somers Point,NJ,8244,Northeast Market,Liberty States Region,Philly,New Jersey,3/9/2016,Kirby Loeck,Ryan Flack,Javier Janeiro,,WS,FY2016,4,"1,459", 1000-1500 ,,Open,WS - FY2016,,,x,4,,,,,,,,,,,,,
1101,Stamford,1059 High Ridge Road,Stamford,CT,6905,Northeast Market,New England Region,Connecticut West,Connecticut,5/16/2015,Kirby Loeck,Josh Mailloux,Kevin Elmes,,WS,FY2015,4,"1,456", 1000-1500 ,,Open,WS - FY2015,,x,x,5,,,,,,,,,,,,,
1102,York,3013A - 300 East Market Street,York,PA,17402,Northeast Market,Liberty States Region,Philly West,Pennsylvania,2/17/2016,Kirby Loeck,Ryan Flack,Rob Kanowicz,,WS,FY2016,3,"2,000", 1500-2000 ,,Open,WS - FY2016,,,x,4,,,,,,,,,,,,,
1103,Jefferson Valley Mall,"650 Lee Blvd, B-05",Yorktown Heights,NY,10589,Northeast Market,NYNJ Region,Upstate New York,New York,5/20/2015,Kirby Loeck,Joe Kjose,Jeanie Jones,,WS,FY2015,1,"1,054", 1000-1500 ,,Open,WS - FY2015,,x,x,2,,,,,,,,,,,,,
1104,East Haven,7 Foxon Blvd,East Haven,CT,6513,Northeast Market,New England Region,Connecticut Central,Connecticut,3/1/2015,Kirby Loeck,Josh Mailloux,Arthur DeSisto,,Acquisition,Wireless4U,5,"1,100", 1000-1500 ,,Open,Acquisition - Wireless4U,,x,x,5,,,,,,,,,,,,,
1105,Yale,936B Chapel Street,New Haven,CT,6510,Northeast Market,New England Region,Connecticut Central,Connecticut,3/1/2015,Kirby Loeck,Josh Mailloux,Arthur DeSisto,,Acquisition,Wireless4U,3,"1,500", 1000-1500 ,,Open,Acquisition - Wireless4U,,x,x,4,,,,,,,,,,,,,
1106,Bridgeport,4173 Main Street,Bridgeport,CT,6606,Northeast Market,New England Region,Connecticut West,Connecticut,3/1/2015,Kirby Loeck,Josh Mailloux,Kevin Elmes,,Acquisition,Wireless4U,5,900, 500-1000 ,,Open,Acquisition - Wireless4U,,x,x,5,,,,,,,,,,,,,
1107,Vernon,135 Talcotville Road,Tolland,CT,6066,Northeast Market,New England Region,Connecticut East,Connecticut,6/15/2016,Kirby Loeck,Josh Mailloux,Brett Fowler,,WS,FY2016,4,"1,800", 1500-2000 ,,Open,WS - FY2016,,,x,4,,,,,,,,,,,,,
1108,West Middletown,661 Middletown-Warwick Rd,Middletown,DE,19709,Northeast Market,Liberty States Region,Delaware,Delaware,6/29/2016,Kirby Loeck,Ryan Flack,Andy Tavolario,,WS,FY2016,3,"1,600", 1500-2000 ,,Open,WS - FY2016,,,x,4,,,,,,,,,,,,,
1109,Plymouth Mtg Mall,500 W Germantown Pike #SL201,Plymouth Meeting,PA,19462,Northeast Market,Liberty States Region,Philly North,Pennsylvania,4/1/2015,Kirby Loeck,Ryan Flack,Ozair Panah,,WS,COR Takeover,1,"2,500", 2000-2500 ,,Open,WS - COR Takeover,,x,x,1,,,,,,,,,,,,,
1110,Norwich,609 West Main Street,Norwich,CT,6360,Northeast Market,New England Region,Connecticut East,Connecticut,7/1/2015,Kirby Loeck,Josh Mailloux,Brett Fowler,,WS,FY2015,4,"1,855", 1500-2000 ,,Open,WS - FY2015,,x,x,4,,,,,,,,,,,,,
1111,Christiana Center,"3120 Fashion Blvd, Ste 360",Newark,DE,19702,Northeast Market,Liberty States Region,Philly West,Delaware,11/9/2016,Kirby Loeck,Ryan Flack,Rob Kanowicz,,WS,FY2016,3,"2,319", 2000-2500 ,,Open,WS - FY2016,,,,4,,,,,,,,,,,,,
