Dealer Code,Loc #,Location,Retail IQ,District,ATT Mkt Abbrev,ATT Market Name,Region,Market,Dispute Mkt,DF,C&C,WS,WS Expires,Footprint Level,Business Expert,DF Code,Old,Old 2,ATT Location Name,ATT Location ID,ATT Region,State,Notes,Notes2,Open Date,Close Date,DC Origin,Store Origin,Acquisition Origin,TB Loc,SMF Mapping,SMF Market,DC status,Sorting Rank,Rank Description,Company
ES80Y,463,Rosemont,463 Rosemont,Chicago Central,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,CW35C,H3870,,SPRING - ROSEMONT,107021,CENTRAL,IL,201305 Clearchoice Acq,,5/1/2013,,Spring,Acquired,ClearChoice Mobility - Chicago,463,463,Chicago,Active,3,Open Standard,Spring
SW358,464,Addison,464 Addison,Chicago Central,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,059YM,H3860,,SPRING - ADDISON,107016,CENTRAL,IL,201305 Clearchoice Acq,,5/1/2013,,Spring,Acquired,ClearChoice Mobility - Chicago,464,464,Chicago,Active,3,Open Standard,Spring
YVOHC,471,Streamwood,471 Streamwood,Chicago Central,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,8/31/2015,1,Yes,5O7XV,,,SPRING - STREAMWOOD,114265,CENTRAL,IL,201408 Whitespace,,8/13/2014,,Spring,Whitespace,Whitespace,471,471,Chicago,Active,3,Open Standard,Spring
92ZN3,1442,Villa Park,1442 Villa Park,Chicago Central,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,12/31/2016,1,Yes,3NCNF,,,SPRING - VILLA PARK,119703,CENTRAL,IL,201512 Whitespace,,12/30/2015,,Spring,Whitespace,Whitespace,1442,1442,Chicago,Active,3,Open Standard,Spring
75FOB,2100,Bloomingdale,2100 Bloomingdale,Chicago Central,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,,MNKHP,A7STA,SPRING - BLOOMINGDALE,121589,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2100,2100,Chicago,Active,3,Open Standard,Spring
9NUM2,2115,Elk Grove Village,2115 Elk Grove Village,Chicago Central,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,,ZS3UT,0XAVV,SPRING - ELK GROVE,121582,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2115,2115,Chicago,Active,3,Open Standard,Spring
37KFW,459,Round Lake Beach,459 Round Lake Beach,Chicago North,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,O2EGM,AKVQB,,SPRING - ROUND LAKE,107022,CENTRAL,IL,201305 Clearchoice Acq,,5/1/2013,,Spring,Acquired,ClearChoice Mobility - Chicago,459,459,Chicago,Active,3,Open Standard,Spring
L2ERP,460,Lincolnshire,460 Lincolnshire,Chicago North,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,A033X,22EBV,,SPRING - LINCOLNSHIRE,107057,CENTRAL,IL,201305 Clearchoice Acq,,5/1/2013,,Spring,Acquired,ClearChoice Mobility - Chicago,460,460,Chicago,Active,3,Open Standard,Spring
ZB85W,470,Lake Zurich,470 Lake Zurich,Chicago North,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Yes,5/31/2017,1,Yes,RCQ30,,,SPRING - LAKE ZURICH,121345,CENTRAL,IL,201605 Whitespace,,5/18/2016,,Spring,Whitespace,Whitespace,470,470,Chicago,Active,3,Open Standard,Spring
2Q78R,474,Palatine,474 Palatine,Chicago North,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,8/31/2016,1,Yes,C0CMI,,,SPRING - PALATINE,117565,CENTRAL,IL,201507 Whitespace,,8/6/2015,,Spring,Whitespace,Whitespace,474,474,Chicago,Active,3,Open Standard,Spring
A7U5K,494,Buffalo Grove,494 Buffalo Grove,Chicago North,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,2/29/2016,1,Yes,TPUSM,,,SPRING - BUFFALO GROVE,116195,CENTRAL,IL,201502 Whitespace,,2/4/2015,,Spring,Whitespace,Whitespace,494,494,Chicago,Active,3,Open Standard,Spring
QURUN,495,Lake Bluff,495 Lake Bluff,Chicago North,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,7/31/2016,1,Yes,3YMP7,,,SPRING - LAKE BLUFF,118295,CENTRAL,IL,201507 Whitespace,,7/22/2015,,Spring,Whitespace,Whitespace,495,495,Chicago,Active,3,Open Standard,Spring
9KA82,498,Hawthorn Mall,498 Hawthorn Mall,Chicago North,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,4/30/2016,1,Yes,K7TBJ,,,SPRING - VERNON HILLS,116448,CENTRAL,IL,201504 Whitespace,,4/22/2015,,Spring,Whitespace,Whitespace,498,498,Chicago,Active,3,Open Standard,Spring
N6BNH,499,Northbrook Mall,499 Northbrook Mall,Chicago North,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,1/31/2016,1,Yes,NRXNB,,,SPRING - NORTHBROOK,116199,CENTRAL,IL,201501 Whitespace,,1/28/2015,,Spring,Whitespace,Whitespace,499,499,Chicago,Active,3,Open Standard,Spring
CNAPU,1403,Niles,1403 Niles,Chicago North,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,5/31/2016,1,Yes,0P5AI,,,SPRING - NILES,116627,CENTRAL,IL,201505 Whitespace,,5/6/2015,,Spring,Whitespace,Whitespace,1403,1403,Chicago,Active,3,Open Standard,Spring
VAO23,1413,Evanston,1413 Evanston,Chicago North,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,7/31/2016,1,Yes,L6H55,,,SPRING-GS-EVANSTON,117270,CENTRAL,IL,201507 RS Flip Whitespace,,7/22/2015,,Spring,Whitespace,Radio Shack Flip,1413,1413,Chicago,Active,3,Open Standard,Spring
0ZXAZ,1414,Sheridan IL,1414 Sheridan IL,Chicago North,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,8/31/2016,1,,CW6VU,,,SPRING-GS-SHERIDAN IL,117267,CENTRAL,IL,201508 RS Flip Whitespace,,8/12/2015,,Spring,Whitespace,Radio Shack Flip,1414,1414,Chicago,Active,3,Open Standard,Spring
84DXE,1436,Mundelein,1436 Mundelein,Chicago North,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,,JMCHU,,,SPRING - MUNDELEIN,121405,CENTRAL,IL,201605 COR,,5/3/2016,,Spring,COR,COR Takeover,1436,1436,Great Plains,Active,3,Open Standard,Spring
VR02Y,465,26th Street,465 26th Street,Chicago South,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,NGGOJ,UCAIM,,SPRING - CHICAGO 26TH,107030,CENTRAL,IL,201305 Clearchoice Acq,,5/1/2013,,Spring,Acquired,ClearChoice Mobility - Chicago,465,465,Chicago,Active,3,Open Standard,Spring
7B5J0,1408,Chicago Brickyard,1408 Chicago Brickyard,Chicago South,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,10/31/2016,1,Yes,MMRWC,,,SPRING - W DIVERSEY,119594,CENTRAL,IL,201510 Whitespace,,10/14/2015,,Spring,Whitespace,Whitespace,1408,1408,Chicago,Active,3,Open Standard,Spring
UTJY0,1410,Chicago N Broadway,1410 Chicago N Broadway,Chicago South,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,9/30/2016,1,,IGEAI,,,SPRING-GS-CHICAGO N BROADWAY,117266,CENTRAL,IL,201509 RS Flip Whitespace,,9/16/2015,,Spring,Whitespace,Radio Shack Flip,1410,1410,Chicago,Active,3,Open Standard,Spring
T0EEE,1412,Melrose North Ave,1412 Melrose North Ave,Chicago South,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,7/31/2016,1,Yes,SM36D,,,SPRING-GS-MELROSE NORTH AVE,117271,CENTRAL,IL,201507 RS Flip Whitespace,,7/15/2015,,Spring,Whitespace,Radio Shack Flip,1412,1412,Chicago,Active,3,Open Standard,Spring
T8RSX,2104,Broadview,2104 Broadview,Chicago South,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,,XCGNQ,W27NH,SPRING - BROADVIEW,121581,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2104,2104,Chicago,Active,3,Open Standard,Spring
GA4Y7,2123,North Riverside Mall,2123 North Riverside Mall,Chicago South,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,,,7UJ5A,8QSVC,SPRING - NO. RIVERSIDE,121591,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2123,2123,Chicago,Active,3,Open Standard,Spring
U0GUJ,2127,Riverside,2127 Riverside,Chicago South,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,,YKOW9,5Q80I,SPRING - RIVERSIDE,121579,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2127,2127,Chicago,Active,3,Open Standard,Spring
U8PYS,2135,Summit,2135 Summit,Chicago South,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,,GBVRI,EAM3T,SPRING - SUMMIT,121584,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2135,2135,Chicago,Active,3,Open Standard,Spring
FPOAV,475,Willowbrook,475 Willowbrook,Chicago Southwest,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,3JXN5,H50A0,WH0LC,SPRING - WILLOWBROOK,114269,CENTRAL,IL,201407 Cellular Center Acq,,7/1/2014,,Spring,Acquired,Cell Center,475,475,Chicago,Active,3,Open Standard,Spring
DQLYF,476,Lockport,476 Lockport,Chicago Southwest,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,RFOK6,H50B0,T3R0G,SPRING - LOCKPORT,114267,CENTRAL,IL,201407 Cellular Center Acq,,7/1/2014,,Spring,Acquired,Cell Center,476,476,Chicago,Active,3,Open Standard,Spring
3XTH6,491,Morris,491 Morris,Chicago Southwest,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,93O82,PM3RH,3ZZ8J,SPRING COMMUNICATIONS - MORRIS,116486,CENTRAL,IL,201502 Clearchoice Mobility Acq,,2/1/2015,,Spring,Acquired,ClearChoice Mobility - Central Illinois,491,491,Chicago,Active,3,Open Standard,Spring
9P4SG,1421,Bridgeview,1421 Bridgeview,Chicago Southwest,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,10/31/2016,1,Yes,CBVUH,,,SPRING-GS-BRIDGEVIEW,117265,CENTRAL,IL,201510 GS Flip Whitespace,,10/14/2015,,Spring,Whitespace,GME Flip,1421,1421,Chicago,Active,3,Open Standard,Spring
EMW4B,2117,Hodgkins,2117 Hodgkins,Chicago Southwest,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,,73YFC,T3MNC,SPRING - HODGKINS,121588,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2117,2117,Chicago,Active,3,Open Standard,Spring
