Dealer Code,Loc #,Location,Retail IQ,District,ATT Mkt Abbrev,ATT Market Name,Region,Market,Dispute Mkt,DF,C&C,WS,WS Expires,Footprint Level,Business Expert,DF Code,Old,Old 2,ATT Location Name,ATT Location ID,ATT Region,State,Notes,Notes2,Open Date,Close Date,DC Origin,Store Origin,Acquisition Origin,TB Loc,SMF Mapping,SMF Market,DC status,Sorting Rank,Rank Description,Company
EJ9NY,1088,Danbury,1088 Danbury,Connecticut West,NEG,NEW ENGLAND,New England,Northeast,SNET,,Yes,Off,4/30/2016,2,,W5JXG,,,SPRING COMMUNICATIONS - DANBURY,116528,NORTHEAST,CT,201504 Whitespace,,4/3/2015,,Spring,Whitespace,Whitespace,1088,1088,SNET,Active,3,Open Standard,Spring
Y6PAV,1101,Stamford,1101 Stamford,Connecticut West,NEG,NEW ENGLAND,New England,Northeast,SNET,,Yes,Off,5/31/2016,2,,34P4G,,,SPRING COMMUNICATION - STAMFORD,116529,NORTHEAST,CT,201505 Whitespace,,5/13/2015,,Spring,Whitespace,Whitespace,1101,1101,SNET,Active,3,Open Standard,Spring
GML6A,1106,Bridgeport,1106 Bridgeport,Connecticut West,NEG,NEW ENGLAND,New England,Northeast,SNET,,Yes,,,2,,PDOF3,AS151,VWIEL,SPRING COMMUNICATIONS - BRIDGEPORT,116481,NORTHEAST,CT,201502 Wireless4U,,3/1/2015,,Spring,Acquired,Wireless4U,1106,1106,SNET,Active,3,Open Standard,Spring
8ENQ3,1174,Whalley Commons,1174 Whalley Commons,Connecticut West,NEG,NEW ENGLAND,New England,Northeast,SNET,,Yes,Off,6/30/2016,2,,UQYYC,,,SPRING-GS-WHALLEY COMMONS,117330,NORTHEAST,CT,201506 RS Flip Whitespace,,6/3/2015,,Spring,Whitespace,Radio Shack Flip,1174,1174,SNET,Active,3,Open Standard,Spring
Y467A,1175,Norwalk Belden,1175 Norwalk Belden,Connecticut West,NEG,NEW ENGLAND,New England,Northeast,SNET,,Yes,Off,6/30/2016,2,,ZVZ8T,,,SPRING-GS-NORWALK BELDEN,117331,NORTHEAST,CT,201506 RS Flip Whitespace,,6/3/2015,,Spring,Whitespace,Radio Shack Flip,1175,1175,SNET,Active,3,Open Standard,Spring
C46IQ,1176,Berkshire Shop,1176 Berkshire Shop,Connecticut West,NEG,NEW ENGLAND,New England,Northeast,SNET,,Yes,Off,7/31/2016,2,,NABAS,,,SPRING-GS-BERKSHIRE SHOP,117328,NORTHEAST,CT,201507 RS Flip Whitespace,,7/22/2015,,Spring,Whitespace,Radio Shack Flip,1176,1176,SNET,Active,3,Open Standard,Spring
OEQRS,1698,Westport,1698 Westport,Connecticut West,NEG,NEW ENGLAND,New England,Northeast,SNET,,Yes,Off,12/31/2016,2,,TU4WG,,,SPRING COMMUNICATIONS - WESTPORT,117334,NORTHEAST,CT,201512 Whitespace,,12/9/2015,,Spring,Whitespace,Whitespace,1698,1698,SNET,Active,3,Open Standard,Spring
I0OTG,2301,Amesbury,2301 Amesbury,New Hampshire,NEG,NEW ENGLAND,New England,Northeast,West Texas,,Yes,,,2,Yes,,SWAME,RT2TD,SPRING COMMUNICATIONS - AMESBURY,122006,NORTHEAST,MA,201608 Cell World Acq,,8/1/2016,,Spring,Acquired,Cellular World,2301,2301,SNET,Active,3,Open Standard,Spring
CD46D,2313,Sanford,2313 Sanford,New Hampshire,NEG,NEW ENGLAND,New England,Northeast,West Texas,,Yes,,,2,,,6996N,MI6ZZ,SPRING COMMUNICATIONS - SANFORD,122018,NORTHEAST,ME,201608 Cell World Acq,,8/1/2016,,Spring,Acquired,Cellular World,2313,2313,SNET,Active,3,Open Standard,Spring
02QTS,2350,Epping,2350 Epping,New Hampshire,NEG,NEW ENGLAND,New England,Northeast,West Texas,,Yes,,,2,,,7DP74,XHKL0,SPRING COMMUNICATIONS - EPPING,122019,NORTHEAST,NH,201608 Cell World Acq,,8/1/2016,,Spring,Acquired,Cellular World,2350,2350,SNET,Active,3,Open Standard,Spring
UG38W,2351,Exeter,2351 Exeter,New Hampshire,NEG,NEW ENGLAND,New England,Northeast,West Texas,,Yes,,,2,,,S8X6B,A7G3S,SPRING COMMUNICATIONS - EXETER,122014,NORTHEAST,NH,201608 Cell World Acq,,8/1/2016,,Spring,Acquired,Cellular World,2351,2351,SNET,Active,3,Open Standard,Spring
X6X76,2352,Nashua,2352 Nashua,New Hampshire,NEG,NEW ENGLAND,New England,Northeast,West Texas,,Yes,,,2,,,JORWC,RLFYI,SPRING COMMUNICATIONS - NASHUA,122021,NORTHEAST,NH,201608 Cell World Acq,,8/1/2016,,Spring,Acquired,Cellular World,2352,2352,SNET,Active,3,Open Standard,Spring
ZR3YX,2353,Plaistow,2353 Plaistow,New Hampshire,NEG,NEW ENGLAND,New England,Northeast,West Texas,,Yes,,,2,,,SWPLA,F88F8,SPRING COMMUNICATIONS - PLAISTOW,122005,NORTHEAST,NH,201608 Cell World Acq,,8/1/2016,,Spring,Acquired,Cellular World,2353,2353,SNET,Active,3,Open Standard,Spring
GN9DK,2354,Salem NH,2354 Salem NH,New Hampshire,NEG,NEW ENGLAND,New England,Northeast,West Texas,,Yes,,,2,Yes,,SWSA3,232BN,SPRING COMMUNICATIONS - SALEM,122002,NORTHEAST,NH,201608 Cell World Acq,,8/1/2016,,Spring,Acquired,Cellular World,2354,2354,SNET,Active,3,Open Standard,Spring
8HKR5,2355,Seabrook,2355 Seabrook,New Hampshire,NEG,NEW ENGLAND,New England,Northeast,West Texas,,Yes,Off,8/31/2016,2,,,93QXN,,SPRING COMMUNICATIONS - SEABROOK,122022,NORTHEAST,NH,201608 Cell World Acq,Acq WS,8/1/2016,,Spring,Acquired,Cellular World,2355,2355,SNET,Active,3,Open Standard,Spring
KA7QJ,2356,West Lebanon,2356 West Lebanon,New Hampshire,NEG,NEW ENGLAND,New England,Northeast,West Texas,,Yes,,,2,Yes,,LK80K,VGVR4,SPRING COMMUNICATIONS - WEST LEBANON,122015,NORTHEAST,NH,201608 Cell World Acq,,8/1/2016,,Spring,Acquired,Cellular World,2356,2356,SNET,Active,3,Open Standard,Spring
GA8SX,1151,Fitchburg,1151 Fitchburg,North Mass,NEG,NEW ENGLAND,New England,Northeast,SNET,,Yes,,,2,Yes,F7Z70,ZNDFC,67K2Z,SPRING COMMUNICATIONS - FITCHBURG,117920,NORTHEAST,MA,201508 Applied Communications Acq,,8/1/2015,,Spring,Acquired,Applied Communications,1151,1151,Boston,Active,3,Open Standard,Spring
X850G,1155,Twin City Plaza,1155 Twin City Plaza,North Mass,NEG,NEW ENGLAND,New England,Northeast,SNET,,Yes,,,2,Yes,WC9NW,APPLE,SNXLW,SPRING COMMUNICATIONS - LEOMINSTER,117911,NORTHEAST,MA,201508 Applied Communications Acq,,8/1/2015,,Spring,Acquired,Applied Communications,1155,1155,Boston,Active,3,Open Standard,Spring
HHUM5,1158,Sack Blvd,1158 Sack Blvd,North Mass,NEG,NEW ENGLAND,New England,Northeast,SNET,,Yes,,,2,Yes,69SSF,APPL0,WIMHP,SPRING COMMUNICATIONS - OUTSIDE WHITNEY FIELD,117912,NORTHEAST,MA,201508 Applied Communications Acq,,8/1/2015,,Spring,Acquired,Applied Communications,1158,1158,Boston,Active,3,Open Standard,Spring
9G3PC,1160,Whitney Mall,1160 Whitney Mall,North Mass,NEG,NEW ENGLAND,New England,Northeast,SNET,,Yes,Yes,4/30/2017,2,Yes,CYTKN,APPWS,8RKOI,SPRING COMMUNICATIONS - COMMERCIAL RD,117915,NORTHEAST,MA,201508 Applied Communications Acq,WS from 4/27/16,8/1/2015,,Spring,Acquired,Applied Communications,1160,1160,Boston,Active,3,Open Standard,Spring
KOTIG,2302,Chelmsford,2302 Chelmsford,North Mass,NEG,NEW ENGLAND,New England,Northeast,West Texas,,Yes,,,2,,,SWCHL,EDOHG,SPRING COMMUNICATIONS - CHELMSFORD,122004,NORTHEAST,MA,201608 Cell World Acq,,8/1/2016,,Spring,Acquired,Cellular World,2302,2302,SNET,Active,3,Open Standard,Spring
WJUSJ,2303,Littleton,2303 Littleton,North Mass,NEG,NEW ENGLAND,New England,Northeast,West Texas,,Yes,,,2,,,SWACT,X5SJM,SPRING COMMUNICATIONS - LITTLETON,122003,NORTHEAST,MA,201608 Cell World Acq,,8/1/2016,,Spring,Acquired,Cellular World,2303,2303,SNET,Active,3,Open Standard,Spring
B2VQ7,2306,Gardner,2306 Gardner,North Mass,NEG,NEW ENGLAND,New England,Northeast,West Texas,,Yes,,,2,Yes,,KQFPJ,NOP58,SPRING COMMUNICATIONS - GARDNER,122010,NORTHEAST,MA,201608 Cell World Acq,,8/1/2016,,Spring,Acquired,Cellular World,2306,2306,SNET,Active,3,Open Standard,Spring
ENP3U,2308,Greenfield,2308 Greenfield,North Mass,NEG,NEW ENGLAND,New England,Northeast,West Texas,,Yes,,,2,,,K7LKA,BVMZX,SPRING COMMUNICATIONS - GREENFIELD,122016,NORTHEAST,MA,201608 Cell World Acq,,8/1/2016,,Spring,Acquired,Cellular World,2308,2308,SNET,Active,3,Open Standard,Spring
GGURM,1052,Bergen Mall,1052 Bergen Mall,Hudson North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,DDMOK,WT8BP,DR8T4,SPRING COMMUNICATIONS - PARAMUS,114872,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1052,1052,Metro New York,Active,3,Open Standard,Spring
3P426,1053,Paramus Park,1053 Paramus Park,Hudson North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,,Q5ZTC,GNC3D,OSZU2,SPRING COMMUNICATIONS - PARAMUS PARK,114871,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1053,1053,Metro New York,Active,3,Open Standard,Spring
HZ0HK,1055,Franklin Lakes,1055 Franklin Lakes,Hudson North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,89FMC,2HR98,62FQS,SPRING COMMUNICATIONS - FRANKLIN LAKES,114885,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1055,1055,Metro New York,Active,3,Open Standard,Spring
MFTK8,1056,Ramsey,1056 Ramsey,Hudson North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,IUNR2,ZRR2T,9KVIM,SPRING COMMUNICATIONS - RAMSEY,114868,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1056,1056,Metro New York,Active,3,Open Standard,Spring
A8Q25,1113,Westchester Mall,1113 Westchester Mall,Hudson North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,B75KR,22JIT,EG6X5,SPRING - SVE WHITE PLAINS,118389,NORTHEAST,NY,201509 Get Connected Acq,,9/1/2015,,Spring,Acquired,Get Connected,1113,1113,Metro New York,Active,3,Open Standard,Spring
7EPYO,1118,Mamaroneck Ave,1118 Mamaroneck Ave,Hudson North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,,97PAQ,22S6,6OAFT,SPRING - WHITE PLAINS,118390,NORTHEAST,NY,201509 Get Connected Acq,,9/1/2015,,Spring,Acquired,Get Connected,1118,1118,Metro New York,Active,3,Open Standard,Spring
T9Z00,1615,NY 116th,1615 NY 116th,Hudson North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,Off,6/30/2016,3,,FUEK9,,,SPRING-GS-NY 116TH,117366,NORTHEAST,NY,201506 RS Flip Whitespace,,6/3/2015,,Spring,Whitespace,Radio Shack Flip,1615,1615,Metro New York,Active,3,Open Standard,Spring
MHJFW,1617,Jerome Ave,1617 Jerome Ave,Hudson North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,Off,6/30/2016,2,,87QIH,,,SPRING-GS-BRONX JEROME,117349,NORTHEAST,NY,201506 RS Flip Whitespace,,6/11/2015,7/27/2017,Spring,Whitespace,Radio Shack Flip,1617,1617,Metro New York,Active,3,Open Standard,Spring
ROUIW,1629,NY 3rd,1629 NY 3rd,Hudson North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,Off,6/30/2016,3,,LY7X8,,,SPRING-GS-NY 3RD,117367,NORTHEAST,NY,201506 RS Flip Whitespace,,6/17/2015,7/27/2017,Spring,Whitespace,Radio Shack Flip,1629,1629,Metro New York,Active,3,Open Standard,Spring
DOTAI,1630,Tremont Ave,1630 Tremont Ave,Hudson North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,Off,6/30/2016,2,,WC2YG,,,SPRING-GS-BRONX TREMONT,117352,NORTHEAST,NY,201506 RS Flip Whitespace,,6/9/2015,,Spring,Whitespace,Radio Shack Flip,1630,1630,Metro New York,Active,3,Open Standard,Spring
KU0R2,1066,Bayside,1066 Bayside,Long Island Central,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,,7N7FQ,K02GD,T558B,SPRING COMMUNICATIONS - BAYSIDE,114895,NORTHEAST,NY,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1066,1066,Metro New York,Active,3,Open Standard,Spring
ZVNXD,1071,Bellmore,1071 Bellmore,Long Island Central,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,2ZLL6,22MMJ,A9TE3,SPRING COMMUNICATIONS - BELLMORE AVE,114894,NORTHEAST,NY,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1071,1071,Metro New York,Active,3,Open Standard,Spring
KNGGR,1072,Merrick,1072 Merrick,Long Island Central,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,NO5WD,22GM,I3NYU,SPRING COMMUNICATIONS - MERRICK,114898,NORTHEAST,NY,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1072,1072,Metro New York,Active,3,Open Standard,Spring
47NX3,1073,Long Beach,1073 Long Beach,Long Island Central,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,4NUPB,LD09,Y8WG9,SPRING COMMUNICATIONS - LONG BEACH,114870,NORTHEAST,NY,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1073,1073,Metro New York,Active,3,Open Standard,Spring
5ASPZ,1075,Rockville Centre,1075 Rockville Centre,Long Island Central,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,O68IF,22FW,9Q4GN,SPRING COMMUNICATIONS - ROCKVILLE CENTER,114897,NORTHEAST,NY,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1075,1075,Metro New York,Active,3,Open Standard,Spring
C5RUS,1077,Plainview,1077 Plainview,Long Island Central,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,JNLH7,24V5,HCN2L,SPRING COMMUNICATIONS - PLAINVIEW,114860,NORTHEAST,NY,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1077,1077,Metro New York,Active,3,Open Standard,Spring
4IQVS,1119,Farmingdale,1119 Farmingdale,Long Island Central,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,,SAOGY,23YJ,LA0Y7,SPRING - FARMINGDALE,118377,NORTHEAST,NY,201509 Get Connected Acq,,9/1/2015,,Spring,Acquired,Get Connected,1119,1119,Metro New York,Active,3,Open Standard,Spring
VAS0E,1120,Lindenhurst,1120 Lindenhurst,Long Island Central,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,KFG8S,27X6,RIWA5,SPRING - LINDENHURST,118383,NORTHEAST,NY,201509 Get Connected Acq,,9/1/2015,,Spring,Acquired,Get Connected,1120,1120,Metro New York,Active,3,Open Standard,Spring
PLKSV,1131,Oceanside,1131 Oceanside,Long Island Central,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,SI559,26U3,LSLKR,SPRING - LONG BEACH RD,118384,NORTHEAST,NY,201509 Get Connected Acq,,9/1/2015,,Spring,Acquired,Get Connected,1131,1131,Metro New York,Active,3,Open Standard,Spring
E5HM2,1140,West Babylon,1140 West Babylon,Long Island Central,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,,7IIIN,22HP,K66LF,SPRING COMMUNICATIONS - MONTAUK HWY,117897,NORTHEAST,NY,201507 Hotspot Acq,,7/1/2015,,Spring,Acquired,Hot Spot Wireless,1140,1140,Metro New York,Active,3,Open Standard,Spring
8EFPP,1141,Greenvale,1141 Greenvale,Long Island Central,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,,XPL2L,25G7,Z59X0,SPRING COMMUNICATIONS - GLEN COVE RD,117901,NORTHEAST,NY,201507 Hotspot Acq,,7/1/2015,,Spring,Acquired,Hot Spot Wireless,1141,1141,Metro New York,Active,3,Open Standard,Spring
WCXPT,1076,Bayshore,1076 Bayshore,Long Island East,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,,5MV8B,26Z9,HIJJK,SPRING COMMUNICATIONS - BAY SHORE,114888,NORTHEAST,NY,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1076,1076,Metro New York,Active,3,Open Standard,Spring
PISM7,1078,Hampton Bays,1078 Hampton Bays,Long Island East,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,9ECOY,SFLJ4,KXXO5,SPRING COMMUNICATIONS - HAMPTON BAYS,114884,NORTHEAST,NY,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1078,1078,Metro New York,Active,3,Open Standard,Spring
FGUI6,1079,East Northport,1079 East Northport,Long Island East,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,BOSP2,23CT,J3X0W,SPRING COMMUNICATIONS - E. NORTHPORT,114883,NORTHEAST,NY,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1079,1079,Metro New York,Active,3,Open Standard,Spring
MU7PY,1080,Riverhead,1080 Riverhead,Long Island East,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,UTA0M,27MR,GMLRY,SPRING COMMUNICATIONS - RIVERHEAD,114900,NORTHEAST,NY,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1080,1080,Metro New York,Active,3,Open Standard,Spring
S0XJ7,1117,Mount Sinai,1117 Mount Sinai,Long Island East,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,DCCZJ,22MBG,,SPRING - MT. SINAI,118387,NORTHEAST,NY,201509 Get Connected Acq,,9/1/2015,,Spring,Acquired,Get Connected,1117,1117,Metro New York,Active,3,Open Standard,Spring
N7FFT,1124,Selden,1124 Selden,Long Island East,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,,RPNFD,25QD,,SPRING - SELDEN,118380,NORTHEAST,NY,201509 Get Connected Acq,,9/1/2015,,Spring,Acquired,Get Connected,1124,1124,Metro New York,Active,3,Open Standard,Spring
FMT7H,1125,Greenlawn,1125 Greenlawn,Long Island East,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,IB967,22YH,O2YTX,SPRING - GREENLAWN,118379,NORTHEAST,NY,201509 Get Connected Acq,,9/1/2015,,Spring,Acquired,Get Connected,1125,1125,Metro New York,Active,3,Open Standard,Spring
OZJGC,1126,Hewitt Square,1126 Hewitt Square,Long Island East,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,MCC56,24SZ,DRUGL,SPRING - E. NORTHPORT,118381,NORTHEAST,NY,201509 Get Connected Acq,,9/1/2015,,Spring,Acquired,Get Connected,1126,1126,Metro New York,Active,3,Open Standard,Spring
8BTMM,1127,Southampton,1127 Southampton,Long Island East,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,GN4V2,PRZKX,R7C88,SPRING - SOUTHAMPTON,118394,NORTHEAST,NY,201509 Get Connected Acq,,9/1/2015,,Spring,Acquired,Get Connected,1127,1127,Metro New York,Active,3,Open Standard,Spring
05YES,1145,Patchogue,1145 Patchogue,Long Island East,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,,NQ340,23X9,CG3CE,SPRING COMMUNICATIONS - PATCHOGUE,117905,NORTHEAST,NY,201507 Hotspot Acq,,7/1/2015,,Spring,Acquired,Hot Spot Wireless,1145,1145,Metro New York,Active,3,Open Standard,Spring
3MIYS,1614,Mattituck,1614 Mattituck,Long Island East,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,Off,7/31/2016,2,Yes,XB9CY,,,SPRING-GS-MATTITUCK,117364,NORTHEAST,NY,201507 RS Flip Whitespace,,7/1/2015,,Spring,Whitespace,Radio Shack Flip,1614,1614,Metro New York,Active,3,Open Standard,Spring
TO06V,1045,Livingston Mall,1045 Livingston Mall,New Jersey North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,DYD9V,5LFAJ,P3XBQ,SPRING COMMUNICATIONS - LIVINGSTON MALL,114878,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1045,1045,Metro New York,Active,3,Open Standard,Spring
U4DLA,1046,West Caldwell,1046 West Caldwell,New Jersey North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,YC6SD,48G35,8WMYD,SPRING COMMUNICATIONS - WEST CALDWELL,114861,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1046,1046,Metro New York,Active,3,Open Standard,Spring
KQGVU,1048,Roseland,1048 Roseland,New Jersey North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,,IL8FD,SG4RN,QFGMU,SPRING COMMUNICATIONS - ROSELAND,114879,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1048,1048,Metro New York,Active,3,Open Standard,Spring
OLVEU,1049,Ledgewood,1049 Ledgewood,New Jersey North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,7LWWF,G3Y7G,C9MY4,SPRING COMMUNICATIONS - LEDGEWOOD,114880,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1049,1049,Metro New York,Active,3,Open Standard,Spring
LGY70,1050,Wayne,1050 Wayne,New Jersey North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,,YPU23,0WOB2,4QO4H,SPRING COMMUNICATIONS - WAYNE,114862,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1050,1050,Metro New York,Active,3,Open Standard,Spring
YXF0I,1051,Carlstadt,1051 Carlstadt,New Jersey North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,A05TZ,68ZI4,A5VWE,SPRING COMMUNICATIONS - CARLSTADT,114893,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1051,1051,Metro New York,Active,3,Open Standard,Spring
0WL4P,1601,Lyndhurst,1601 Lyndhurst,New Jersey North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,Yes,2/28/2017,2,,TOIP7,,,SPRING-GS-LYNDHURST,117342,NORTHEAST,NJ,201602 Whitespace,,2/24/2016,,Spring,Whitespace,Whitespace,1601,1601,Metro New York,Active,3,Open Standard,Spring
CEWAS,1608,Orange NJ,1608 Orange NJ,New Jersey North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,Off,9/30/2016,2,,LT5A3,,,SPRING-GS-ORANGE NJ,117346,NORTHEAST,NJ,201509 RS Flip Whitespace,,9/17/2015,,Spring,Whitespace,Radio Shack Flip,1608,1608,Metro New York,Active,3,Open Standard,Spring
0JU4A,1621,Dongan Hills,1621 Dongan Hills,New Jersey North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,Off,6/30/2016,2,,K0ZLV,,,SPRING-GS-DONGAN HILLS,117370,NORTHEAST,NY,201506 RS Flip Whitespace,,6/3/2015,,Spring,Whitespace,Radio Shack Flip,1621,1621,Metro New York,Active,3,Open Standard,Spring
4ODN7,1026,Ocean County Mall,1026 Ocean County Mall,New Jersey South,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,Off,12/31/2015,2,Yes,ZMHO0,,,SPRING COMMUNICATIONS - TOMS RIVER,115987,NORTHEAST,NJ,201412 Whitespace,,12/17/2014,,Spring,Whitespace,Whitespace,1026,1026,Metro New York,Active,3,Open Standard,Spring
BVK26,1057,Bound Brook,1057 Bound Brook,New Jersey South,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,,2TFBV,WG5K7,MRIDR,SPRING COMMUNICATIONS - BOUNDBROOK,114863,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1057,1057,Metro New York,Active,3,Open Standard,Spring
PDWSS,1058,Piscataway,1058 Piscataway,New Jersey South,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,48RT4,WHM84,63GMK,SPRING COMMUNICATIONS - PISCATAWAY,114892,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1058,1058,Metro New York,Active,3,Open Standard,Spring
04K3F,1059,Edison,1059 Edison,New Jersey South,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,0OYC5,WS5RX,WRZ37,SPRING COMMUNICATIONS - EDISON,114867,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1059,1059,Metro New York,Active,3,Open Standard,Spring
7OP9M,1060,Old Bridge,1060 Old Bridge,New Jersey South,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,CYY3S,WXOT0,YWKF7,SPRING COMMUNICATIONS - PARLIN,114864,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1060,1060,Metro New York,Active,3,Open Standard,Spring
J6XBV,1061,Lakewood,1061 Lakewood,New Jersey South,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,,R8SFC,W6B3B,RAEMN,SPRING COMMUNICATIONS - LAKEWOOD,114877,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1061,1061,Metro New York,Active,3,Open Standard,Spring
OQGY7,1063,Phillipsburg Mall,1063 Phillipsburg Mall,New Jersey South,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,2,Yes,SA29R,55YIS,IT397,SPRING COMMUNICATIONS - PHILLISPBURG MALL,114859,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,,Spring,Acquired,Product Center,1063,1063,Metro New York,Active,3,Open Standard,Spring
