"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Spring Mobile Multi-Tracker","","","","","","","","","Store Charactaristics","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Formula Link","AT&T Region","AT&T Market","Spring Market","Region","District","Loc","Store Name","Street Address","City, State, Zip","Square Feet","Total Monthly Rent","Lease Expiration","October 2017 Total Ops","Average Last 12 Months Ops","Average Traffic Count Last 12 Months","June SMF","Dealer Code","Exterior Photo","Interior Photo","Build Type","Store Type","C&C Designation","Remodel or Open Date","Authorized Retailer Tag Line","Pylon/Monument Panels","Selling Walls","Memorable Accessory Wall","Cash Wrap Expansion","Window Wrap Grpahics","Live DTV","Learning Tables","Community Table","Diamond Displays","C Fixtures","TIO Kiosk","Approved for Flex Blade","Cap Index Score","Selling Walls Notes"
"","2100 Bloomingdale","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Central","2100","Bloomingdale","383 W Army Trail Rd Suite 800","Bloomingdale, IL 60108","2200","$8,896.73","5/31/25","175","174","1797","$15,587.72","75FOB","https://www.dropbox.com/s/55rf7itte2razd8/2100%20Bloomingdale%20Outside.png?dl=0","https://www.dropbox.com/s/t6ua9364xdwvic3/2100%20Bloomingdlae%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","","YES","2","12","0","15 Panel","","Pending","4","YES","0","0","NO","NO","",""
"","2115 Elk Grove Village","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Central","2115","Elk Grove Village","916 Elk Grove Town Center","Elk Grove Village, IL 60007","2068","$7,373.04","6/30/20","56","104","1339","$20,537.17","9NUM2","https://www.dropbox.com/s/x8tp2qvoep09oh8/2115%20Elk%20Grove%20Village.png?dl=0","https://www.dropbox.com/s/ua3b7c5tbcgq51x/2115%20Elk%20Grove%20Village%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","","YES","0","12","0","NO","","Pending","3","YES","1","1","NO","NO","",""
"","459 Round Lake Beach","CENTRAL","GREATER LAKES","Central","Chicago","Chicago North","459","Round Lake Beach","420 E Rollins Rd","Round Lake Beach, IL 60073","2200","$7,811.08","1/31/26","239","209","2054","$20,839.18","37KFW","https://www.dropbox.com/s/uqjji44mxrfnshd/459%20Round%20Lake.jpg?dl=0","https://www.dropbox.com/s/jcjmvtitaxobwg0/459%20Round%20Lake%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","10/16/2015","YES","2","12","0","NO","Installed","Denied","3","YES","1","1","NO","","68",""
"","460 Lincolnshire","CENTRAL","GREATER LAKES","Central","Chicago","Chicago North","460","Lincolnshire","910 Milwaukee Ave","Lincolnshire, IL 60069","1732","$8,790.94","10/31/21","246","173","1539","$17,884.49","L2ERP","https://www.dropbox.com/s/1bunfg786yy5v7d/460%20Lincolnshire.jpg?dl=0","https://www.dropbox.com/s/ivg2rtdv5ze1k0w/460%20Lincolnshire%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","7/16/2016","YES","4","12","0","NO","","Installed","3","YES","1","0","NO","","",""
"","470 Lake Zurich","CENTRAL","GREATER LAKES","Central","Chicago","Chicago North","470","Lake Zurich","430 S Rand Rd Suite 140","Lake Zurich, IL 60047","1366","$5,964.49","5/31/21","81","107","1212","$717.92","ZB85W","https://www.dropbox.com/s/vccetpvcu5fjjs3/470%20Lake%20Zurich%20Outside.jpg?dl=0","https://www.dropbox.com/s/l2q727k7wolsarr/470%20Lake%20Zurich%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","5/18/2016","YES","2","13","0","NO","","Installed","3","YES","1","2","NO","","107",""
"","474 Palatine","CENTRAL","GREATER LAKES","Central","Chicago","Chicago North","474","Palatine","785 E Dundee Rd","Palatine, IL 60074","2000","$7,456.61","8/31/20","105","140","1310","$1,864.99","2Q78R","https://www.dropbox.com/s/yi8tzdz2q6ybani/474%20Palatine.jpg?dl=0","https://www.dropbox.com/s/pqc0f0gjpp4ei40/474%20Palatine%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","8/7/2015","YES","0","14","0","NO","","Installed","3","YES","2","1","NO","","",""
"","494 Buffalo Grove","CENTRAL","GREATER LAKES","Central","Chicago","Chicago North","494","Buffalo Grove","55 McHenry Rd","Buffalo Grove, IL 60089","2058","$6,884.37","2/29/20","125","127","1416","$1,840.43","A7U5K","https://www.dropbox.com/s/m82g1l8t4f9e99x/494%20Buffalo%20Grove.jpg?dl=0","https://www.dropbox.com/s/fj1n1t2zp5kgej6/494%20Buffalo%20Grove%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","2/4/2015","YES","0","12","0","NO","","Denied","2","YES","1","2","NO","","","Pegs include all floor displays"
"","495 Lake Bluff","CENTRAL","GREATER LAKES","Central","Chicago","Chicago North","495","Lake Bluff","955 Rockland Rd Suite C","Lake Bluff, IL 60044","2000","$7,212.04","7/31/25","196","176","1651","$1,412.26","QURUN","https://www.dropbox.com/s/8fguz4131x6voa2/495%20Lake%20Bluff.jpg?dl=0","https://www.dropbox.com/s/upg2159dm55vcqp/495%20Lake%20Bluff%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","7/22/2015","YES","2","13","0","15 Panel","","Installed","4","YES","1","2","NO","","",""
"","498 Hawthorn Mall","CENTRAL","GREATER LAKES","Central","Chicago","Chicago North","498","Hawthorn Mall","623 Hawthorn Center","Vernon Hills, IL 60061","1773","$11,251.29","1/31/20","93","108","2342","$1,943.61","9KA82","https://www.dropbox.com/s/n3amfc9gk310fcq/498%20Hawthorn%20Mall.jpg?dl=0","https://www.dropbox.com/s/91xeadhhea6kpmt/498%20Hawthorn%20Mall%20inside.jpg?dl=0","DES1","Mall","Complete","4/22/2015","YES","0","12","0","NO","","Installed","3","YES","1","2","NO","NO","","Pegs include all floor displays"
"","499 Northbrook Mall","CENTRAL","GREATER LAKES","Central","Chicago","Chicago North","499","Northbrook Mall","2004 Northbrook Court","Northbrook, IL 60062","1241","$11,659.55","1/31/20","141","131","2725","$1,909.32","N6BNH","https://www.dropbox.com/s/cvlvdga2cl37t2i/499%20Northbrook%20Mall.jpg?dl=0","https://www.dropbox.com/s/i6ox9jd8hacwv0q/499%20Northbrook%20Mall%20Inside.jpg?dl=0","DES1s","Mall","Complete","1/28/2015","YES","0","9","0","NO","","Installed","1","NO","1","1","NO","NO","",""
