"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Spring Mobile Multi-Tracker","","","","","","","","","Store Charactaristics","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Formula Link","AT&T Region","AT&T Market","Spring Market","Region","District","Loc","Store Name","Street Address","City, State, Zip","Square Feet","Total Monthly Rent","Lease Expiration","October 2017 Total Ops","Average Last 12 Months Ops","Average Traffic Count Last 12 Months","June SMF","Dealer Code","Exterior Photo","Interior Photo","Build Type","Store Type","C&C Designation","Remodel or Open Date","Authorized Retailer Tag Line","Pylon/Monument Panels","Selling Walls","Memorable Accessory Wall","Cash Wrap Expansion","Window Wrap Grpahics","Live DTV","Learning Tables","Community Table","Diamond Displays","C Fixtures","TIO Kiosk","Approved for Flex Blade","Cap Index Score","Selling Walls Notes"
"","2171 Springfield 6th Street","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois Central","2171","Springfield 6th Street","3651 S 6th St Frontage Rd W Suite 100","Springfield, IL 62703","2345","$7,213.71","12/31/2026","126","83","1127","$148.92","4T2YP","https://www.dropbox.com/s/pjpd3w6gzhj2ehh/2171%20Springfield%20Sixth%20Street%20Outside.jpg?dl=0","https://www.dropbox.com/s/4y9x0nq2cymku1v/2171%20Springfield%20Sixth%20Street%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","12/30/2016","NO","","12","1","NO","","Denied","4","YES","1","2","NO","","186",""
"","487 Mt Zion Rd","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois East","487","Mt Zion Rd","1910 S Mt Zion Rd","Decatur, IL 62521","1614","$3,559.00","2/28/2021","209","143","1826","$5,796.05","HFGPK","https://www.dropbox.com/s/vwsql59vyk0du14/487%20Mt%20Zion%20Road.jpg?dl=0","https://www.dropbox.com/s/qvj0h25alqn85cu/487%20Mt%20Zion%20Road%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/18/2016","YES","0","11","0","NO","","Pending","2","YES","0","0","NO","","",""
"","2101 Bloomington Veterans","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois East","2101","Bloomington Veterans","2109 Veterans Pkwy","Bloomington, IL 61704","2062","$5,202.14","10/31/2021","325","302","2746","$39,479.50","CY3IO","https://www.dropbox.com/s/jva3hlsdd814fi6/2101%20Bloomington%20Veterans%20Outside.png?dl=0","","DES1","Inline Strip","Complete","","YES","0","11","0","NO","","Installed","3","YES","1","2","NO","","",""
"","2106 Market Place Mall","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois East","2106","Market Place Mall","2000 N Neil St","Champaign, IL 61821","1419","$5,362.53","3/31/2019","122","121","2352","$21,094.78","PHOI3","https://www.dropbox.com/s/dmy3sx2mpgakqv9/2106%20Market%20Place%20Mall.png?dl=0","","DES1","Mall","Complete","","YES","0","11","0","NO","","Denied","3","YES","0","0","NO","NO","",""
"","2111 Danville","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois East","2111","Danville","2807 N Vermillion Suite 1","Danville, IL 61832","1900","$3,000.00","2/28/2020","272","268","4447","$24,569.12","XLF5S","https://www.dropbox.com/s/ifnsb8im2tn77cm/2111%20Danville%20Outside.png?dl=0","","DES1","End Cap Strip","Complete","","YES","2","12","0","15 Panel","","Denied","4","YES","0","0","YES","YES","",""
"","2112 Decatur Pershing Rd","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois East","2112","Decatur Pershing Rd","135 E Pershing Rd","Decatur, IL 62526","2227","$3,804.45","10/31/2020","145","183","2806","$22,100.05","8O7VW","https://www.dropbox.com/s/c316effzt3gtmh5/2112%20Decatur%20Pershing%20Rd%20Outside.png?dl=0","","DES1","Inline Strip","Complete","","YES","2","11","0","NO","","Installed","3","YES","0","0","NO","","",""
"","2116 Hickory Point","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois East","2116","Hickory Point","1351 Hickory Point Rd","Forsyth, IL 62535","1500","$3,989.37","1/31/2023","129","120","1829","$24,010.36","252C2","https://www.dropbox.com/s/qgadqefw9zy83nq/2116%20Hickory%20Point%20Outside.png?dl=0","","DES1","End Cap Strip","Complete","6/28/2017","NO","0","11","1","NO","","Installed","3","YES","0","0","NO","YES","",""
"","2126 Pontiac","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois East","2126","Pontiac","1622 W Reynolds St","Pontiac, IL 61764","2500","$4,856.35","11/30/2018","100","164","1980","$15,697.33","98T3K","https://www.dropbox.com/s/qf9vhdef7u8rm7c/2126%20Pontiac%20Outside.png?dl=0","","DES1","End Cap Strip","Complete","","YES","2","12","0","NO","","Installed","3","YES","1","2","NO","","",""
"","2130 Champaign","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois East","2130","Champaign","2033 S Neil St","Champaign, IL 61820","2275","$6,679.15","7/31/2020","236","224","2181","$13,233.59","B776J","https://www.dropbox.com/s/qifvyiyt87fhqg3/2130%20Champaign%20Outside.jpg?dl=0","https://www.dropbox.com/s/bra3adojo1tzb0a/2130%20Champaign%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","","YES","2","11","0","NO","","Installed","3","YES","0","0","NO","NO","",""
"","486 Carlinville","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois South","486","Carlinville","504 W Side Square","Carlinville, IL 62626","1620","$650.00","5/30/2018","130","127","1691","$5,012.51","40PFT","https://www.dropbox.com/s/bxjiczfxaf39okf/486%20Carlinville%20Exterior.JPG?dl=0","","DES1s","End Cap Strip","Complete","6/10/2017","NO","2","10","1","NO","","Denied","3","NO","0","0","NO","","",""
"","488 Effingham","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois South","488","Effingham","1300 Thelma Keller Ave","Effingham, IL 62401","1925","$2,229.79","3/31/2019","279","272","2481","$6,980.77","V998U","https://www.dropbox.com/s/xov4ac3dl9ekmdv/488%20Effingham%20Exterior.jpg?dl=0","https://www.dropbox.com/s/aiq0lnkxn8q2k9z/488%20Effingham%20Interior.jpg?dl=0","DES1","End Cap Strip","Complete","5/28/2016","YES","4","11","0","NO","","Installed","3","YES","1","1","NO","","","Store has an old accessory spinning merch rack."
"","490 Litchfield","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois South","490","Litchfield","1203 W Ferdon Suite 1","Litchfield, IL 62056","4000","$5,100.00","4/30/2020","311","334","3757","$6,947.56","IX3Q4","https://www.dropbox.com/s/oipthr835dgw215/490%20Litchfield%20Exterior.jpg?dl=0","https://www.dropbox.com/s/iwdbpoo19rbupcs/490%20Litchfield%20Interior.jpg?dl=0","DES1","End Cap Strip","Complete","","YES","2","11","0","NO","","Installed","3","YES","0","0","NO","","",""
"","2105 Centralia Elm St","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois South","2105","Centralia Elm St","8071 Jolliff Bridge Rd Suite 1","Centralia, IL 62801","2048","$4,105.00","1/31/2025","212","188","3205","$4,239.26","URRDF","","","DES1","End Cap Strip","Complete","10/4/2017","NO","","13","1","NO","","Pending","3","YES","0","0","NO","","",""
"","2107 Charleston","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois South","2107","Charleston","634 W Lincoln Ave","Charleston, IL 61920","2000","$2,000.00","11/30/2019","108","136","1843","$2,605.77","736SQ","https://www.dropbox.com/s/98vzf0jdbjn7dqe/2107%20Charleston%20Exterior.JPG?dl=0","https://www.dropbox.com/s/49vjvpk4dejhnqq/2107%20Charleston%20Interior.JPG?dl=0","DES1","End Cap Strip","Complete","","YES","3","12","0","NO","","Installed","3","YES","1","1","NO","","",""
"","2129 Salem","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois South","2129","Salem","103 Baldridge Lane","Salem, IL 62881","1600","$3,105.75","1/31/2020","138","139","1922","$3,220.06","R0JIU","https://www.dropbox.com/s/27uopuy043uv0ge/2129%20Salem%20Exterior.JPG?dl=0","https://www.dropbox.com/s/kecaau4j75ykt08/2129%20Salem%20Interior.JPG?dl=0","DES1","Inline Strip","Complete","","YES","2","12","0","NO","","Installed","3","YES","0","0","NO","","",""
"","2131 Mattoon","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois South","2131","Mattoon","1005 Charleston Ave E","Mattoon, IL 61938","1900","$2,774.00","5/5/2018","93","77","876","$3,626.52","NODSK","https://drive.google.com/a/springmobile.com/file/d/0BxK3UN6XOJBENno1UDdTVlhuWlE/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BxK3UN6XOJBEQmlsMjBma2Nwam8/view?usp=sharing","","Inline Strip","Complete","9/1/2016","YES","0","","0","","","Denied","","","","","NO","","41",""
"","2137 Vandalia","CENTRAL","GREATER LAKES","Central","WISILLIN","Illinois South","2137","Vandalia","335 Mattes Ave","Vandalia, IL 62471","1600","$2,606.18","2/28/18","153","164","2213","$2,408.68","5OCHR","https://www.dropbox.com/s/o7m8yr802aypm99/2137%20Vandalia%20Exterior.jpg?dl=0","https://www.dropbox.com/s/1a8otatzdixj9ht/2137%20Vandalia%20Interior.jpg?dl=0","DES2","Inline Strip","Complete","","YES","2","12","0","NO","","Denied","0","NO","1","1","NO","","",""
"","458 Machesney","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin Central","458","Machesney","1574 W Lane Rd","Machesney Park, IL 61115","3503","$8,420.64","12/31/2021","156","116","1377","$12,891.95","2AWFV","https://www.dropbox.com/s/zwwm3maofwk49ft/458%20Machesney.jpg?dl=0","https://www.dropbox.com/s/2m8nxnnf7jaybet/458%20Machesney%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","6/21/2016","YES","2","11","0","NO","","Installed","3","YES","1","2","NO","","",""
"","469 Beloit","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin Central","469","Beloit","2850 Milwaukee Rd Suite 500","Beloit, WI 53511","1928","$4,538.84","6/30/2019","95","106","1629","$2,791.98","SXBC0","https://www.dropbox.com/s/twiw8j01p6sf8qe/469%20Beloit.jpg?dl=0","https://www.dropbox.com/s/3c9g021m29nbcqn/469%20Beloit%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/13/2014","YES","0","12","0","NO","","Denied","2","YES","1","1","NO","","",""
"","472 Beaver Dam","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin Central","472","Beaver Dam","106 Frances Lane Suite C","Beaver Dam, WI 53916","1650","$3,129.74","8/31/2019","37","48","692","$1,385.38","BP9CQ","https://www.dropbox.com/s/l4eu7uu6fpqx2wj/472%20Beaver%20Dam.jpg?dl=0","https://www.dropbox.com/s/8p8rnkqc5k7pm6w/472%20Beaver%20Dam%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","8/27/2014","YES","2","12","0","NO","","Installed","2","YES","1","1","NO","","",""
"","479 Sun Prairie","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin Central","479","Sun Prairie","2808 Prairie Lakes Dr #101","Sun Prairie, WI 53590","1952","$7,401.33","12/31/2019","70","108","1039","$1,656.26","5BGDD","https://www.dropbox.com/s/jrcs0h513fl0ta8/479%20Sun%20Prairie.jpg?dl=0","https://www.dropbox.com/s/t4gn786nqtowc64/479%20Sun%20Prairie%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","12/31/2014","YES","0","13","0","NO","","Installed","3","YES","1","2","NO","","",""
"","493 Middleton","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin Central","493","Middleton","2173 Deming Way","Middleton, WI 53562","1826","$4,943.88","1/31/2020","58","55","555","$1,596.91","ZRJDN","https://www.dropbox.com/s/s0hzd137l6h8n77/493%20Middleton.jpg?dl=0","https://www.dropbox.com/s/pxzvmnjclsbs0ec/493%20Middleton%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","11/25/2014","YES","0","13","0","NO","","Installed","3","YES","1","2","NO","","",""
"","497 East Towne Mall","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin Central","497","East Towne Mall","56 E Towne Mall Suite C-330","Madison, WI 53704","1938","$9,138.25","6/30/2020","120","102","2559","$1,374.06","QLQ7D","https://www.dropbox.com/s/v9tqm6sptsrsr89/497%20East%20Towne%20Mall%20Outside.jpg?dl=0","https://www.dropbox.com/s/1f1gfm7v9mvg0q1/497%20East%20Towne%20Mall%20Inside.jpg?dl=0","DES1","Mall","Complete","7/1/2015","YES","0","13","0","15 Panel","","Denied","4","YES","1","2","NO","","",""
"","1459 Watertown","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin Central","1459","Watertown","1614 Church St","Watertown, WI 53094","1768","$3,211.72","12/31/2019","146","91","1096","$1,585.74","H6LD6","https://www.dropbox.com/s/ub2jz35aarsdmao/1459%20Watertown%20Outsdie.jpg?dl=0","","DES1","End Cap Strip","","","YES","2","12","0","15 Panel","","Installed","4","YES","0","0","NO","YES","",""
"","1460 Delavan","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin Central","1460","Delavan","1741 E Geneva St Suite 200","Delavan, WI 53115","1500","$3,163.29","2/28/2021","141","146","1420","$5,493.95","ZDDMC","https://www.dropbox.com/s/j4s3km4kg6j7j8q/1460%20Delavan%20Outside.jpg?dl=0","https://www.dropbox.com/s/9geo5vawlb4qeip/1460%20Delavan%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","5/28/2016","YES","0","11","0","NO","","Installed","3","YES","1","2","NO","NO","",""
"","433 Mequon","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin North","433","Mequon","11000 N Port Washington Rd","Mequon, WI 53092","2265","$6,041.89","2/29/2020","94","92","875","$2,076.98","PBWQ5","https://www.dropbox.com/s/7z2v9y9zxfzrt7y/433%20Mequon.jpg?dl=0","https://www.dropbox.com/s/xlt6710d7d0nqwp/433%20Mequon%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","","YES","2","12","0","NO","","Installed","3","YES","1","0","NO","","",""
"","473 West Allis","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin North","473","West Allis","3001 S 108th St","West Allis, WI 53227","2000","$6,558.34","8/31/2020","164","178","1958","$9,918.33","AM8AJ","https://www.dropbox.com/s/tzlinm0838ytg40/473%20West%20Allis%20Outside.jpg?dl=0","https://www.dropbox.com/s/03cc9u1ndd6923n/473%20West%20Allis%20Inside%20A.jpg?dl=0","DES1","End Cap Strip","Complete","8/21/2015","YES","0","12","0","27 Panel","","Installed","6","YES","0","0","NO","","",""
"","496 Brookfield Square Mall","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin North","496","Brookfield Square Mall","95 N Moorland Rd Unit A-76","Brookfield, WI 53005","1221","$9,070.79","1/31/2020","100","102","2276","$1,617.51","85P46","https://www.dropbox.com/s/uay6rw5l5gd733c/496%20Brookfield%20Square%20Mall.jpg?dl=0","https://www.dropbox.com/s/blgsonf31pmkqxh/496%20Brookfield%20Square%20Mall%20Inside.jpg?dl=0","DES1","Mall","Complete","12/31/2014","YES","2","12","0","NO","","Installed","3","NO","0","0","NO","NO","",""
"","1447 Sheboygan Falls","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin North","1447","Sheboygan Falls","4019 State Rd 28","Sheboygan Falls, WI 53085","1340","$2,549.29","5/31/2020","267","247","2216","$6,595.31","H79Z5","https://www.dropbox.com/s/tx8k1l1qztcj8rx/1447%20Sheboygan%20Falls%20Outside.jpg?dl=0","","DES1s","End Cap Strip","Complete","11/19/2016","YES","2","8","1","NO","","Installed","3","NO","0","0","NO","NO","",""
"","1451 West Bend","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin North","1451","West Bend","1606 S Main St","West Bend, WI 53095","2000","$5,983.00","9/30/2022","299","258","2285","$11,700.04","EQCA2","","","DES1","End Cap Strip","Complete","9/27/2017","NO","","11","1","NO","","Pending","3","YES","0","0","NO","","",""
"","1453 Grafton","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin North","1453","Grafton","1217 N Port Washington Rd","Grafton, WI 53024","1442","$4,605.00","12/31/2018","253","251","2180","$10,195.30","EYB9J","https://www.dropbox.com/s/pqapbutq3dx6g5f/1453%20Grafton%20Outside.jpg?dl=0","https://www.dropbox.com/s/5galcll6p1d8kg0/1453%20Grafton%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","10/29/2016","YES","2","12","0","NO","","Installed","2","YES","0","0","NO","NO","",""
"","1454 Bellevue","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin North","1454","Bellevue","2014 Lime Kiln Rd","Bellevue, WI 54311","2550","$6,248.79","2/28/2020","153","141","1548","$2,345.32","DGJC3","https://www.dropbox.com/s/pa9rvqo3mjprxky/1454%20Bellevue%20Outside.jpg?dl=0","","DES1","End Cap Strip","","","YES","2","14","0","15 Panel","","Installed","4","YES","0","0","NO","YES","",""
"","1456 Germantown","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin North","1456","Germantown","N96W17970 County Line Rd","Germantown, WI 53022","3000","$10,869.00","11/30/2024","355","305","2511","$14,823.39","DIOGQ","https://www.dropbox.com/s/hylttsxyha7o3er/1456%20Germantown%20Outside.jpg?dl=0","https://www.dropbox.com/s/ktpwjgi3urwys1s/1456%20Germantown%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","","YES","2","12","0","27 Panel","","Installed","6","YES","0","0","NO","NO","",""
"","1458 Green Bay","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin North","1458","Green Bay","615 S Military Ave","Green Bay, WI 54303","1960","$6,629.21","5/31/2020","175","160","2011","$6,836.61","U03DV","https://www.dropbox.com/s/fp97r8dyf5k0qu2/1458%20Green%20Bay%20Outside.jpg?dl=0","","DES2","End Cap Strip","","","YES","2","11","0","NO","","Installed","0","NO","1","1","NO","YES","",""
"","1462 Oshkosh","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin North","1462","Oshkosh","1150 S Koeller Rd","Oshkosh, WI 54901","1600","$5,781.33","1/31/2020","136","145","1771","$2,604.60","KKL0U","https://www.dropbox.com/s/r1xeylnru87v2h0/1462%20Oshkosh%20Outside.jpg?dl=0","https://www.dropbox.com/s/248ny3z37gy34n3/1462%20Oshkosh%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/21/2016","YES","5","11","0","NO","","Installed","2","YES","1","0","NO","NO","",""
"","437 Sturtevant","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin South","437","Sturtevant","7115 Durand Ave Suite H","Mount Pleasant, WI 53177","2834","$5,151.20","1/31/2020","61","65","886","$1,780.38","TILHC","https://www.dropbox.com/s/tnajyyx0w83x7mq/437%20Sturtevant.jpg?dl=0","https://www.dropbox.com/s/tsm8040vteg4f72/437%20Sturtevant%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","12/31/2014","YES","0","12","0","15 Panel","","Pending","4","YES","1","2","NO","","",""
"","477 Muskego","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin South","477","Muskego","S69 W15468 Janesville Rd","Muskego, WI 53150","1581","$3,982.81","1/31/2019","126","139","1230","$2,687.97","N8Q0U","https://www.dropbox.com/s/zxn915uxgikahfx/477%20Muskego.jpg?dl=0","https://www.dropbox.com/s/14gls63lshy94e3/477%20Muskego%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","10/15/2014","YES","2","12","0","NO","","Installed","3","YES","1","2","NO","","",""
"","1434 Southridge Mall","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin South","1434","Southridge Mall","Southridge Mall 5300 S 76th St","Greendale, WI 53129","2456","$5,462.70","2/29/2020","114","136","3647","$1,503.76","HOHPP","https://www.dropbox.com/s/yhl60pqmswazz8j/1434%20Southridge%20Mall%20Outside.jpg?dl=0","https://www.dropbox.com/s/el7f1jxszidta1g/1434%20Southridge%20Mall%20Inside.jpg?dl=0","DES1","Mall","Complete","10/7/2015","YES","0","13","0","NO","","Installed","3","YES","1","2","NO","","296",""
"","1448 Burlington","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin South","1448","Burlington","980 Milwaukee Ave Suite 600","Burlington, WI 53105","2080","$4,859.31","1/31/2022","161","137","1407","$3,990.05","N48DS","https://www.dropbox.com/s/utars09fvcer80k/1448%20Burlington%20Outside.jpg?dl=0","https://www.dropbox.com/s/vif4fmb7ahz308w/1448%20Burlington%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","11/25/2016","YES","2","11","1","NO","","Installed","3","YES","1","2","NO","","10",""
"","1449 Pewaukee North","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin South","1449","Pewaukee North","1273 W Capitol Dr","Pemwaukee, WI 53072","2558","$6,132.74","9/30/2022","190","168","1467","$10,969.17","KLCEG","https://www.dropbox.com/s/aq6y6z2ub53puxr/1449%20Pewaukee%20North.jpg?dl=0","https://www.dropbox.com/s/5c4uk1dxuul44h7/1449%20Pewaukee%20North%20Inside.jpg?dl=0","DES2","End Cap Strip","","","YES","2","13","0","NO","","Installed","0","NO","1","2","NO","YES","",""
"","1450 Waukesha","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin South","1450","Waukesha","2202 E Moreland Blvd","Waukesha, WI 53186","2558","$10,849.00","8/31/2022","231","204","2082","$17,357.03","NQRII","https://www.dropbox.com/s/7i6y6f5sfwbxbtg/1450%20Waukesha%20Outside.jpg?dl=0","https://www.dropbox.com/s/46c5de4yr4pyqut/1450%20Waukesha%20Inside.jpg?dl=0","DES1","Stand Alone","Complete","5/21/2016","YES","2","12","0","NO","","Installed","3","YES","1","2","NO","YES","",""
"","1452 Ogden Ave","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin South","1452","Ogden Ave","632 E Ogden Ave","Milwaukee, WI 53202","2038","$6,150.96","3/31/2020","171","179","1397","$4,013.19","LX6KI","https://www.dropbox.com/s/q6aq26jj9tl41zq/1452%20Ogden%20Ave%20Outside.jpg?dl=0","https://www.dropbox.com/s/2f8jbn5bkm742vg/1452%20Ogden%20Ave%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","7/30/2016","YES","2","11","0","NO","","Installed","2","YES","1","2","NO","NO","",""
"","1455 New Berlin","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin South","1455","New Berlin","3604 S Moorland Rd","New Berlin, WI 53151","3125","$5,035.56","9/30/2020","173","182","1933","$4,041.14","8A3NQ","https://www.dropbox.com/s/bqgrl5af00ymw2r/1455%20New%20Berlin%20Outside.jpg?dl=0","https://www.dropbox.com/s/a0usgt1yzynmq44/1455%20New%20Berlin%20Inside.jpg?dl=0","DES2","Inline Strip","","","YES","2","12","0","NO","","Installed","0","NO","1","2","NO","YES","",""
"","1457 West Milwaukee","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin South","1457","West Milwaukee","1236 Miller Park Way","Milwaukee, WI 53214","1850","$5,804.98","9/30/2022","309","229","3090","$4,314.29","QSUL6","https://www.dropbox.com/s/nxqe6rmqcg8ebdq/1457%20West%20Milwaukee%20Outside.jpg?dl=0","https://www.dropbox.com/s/rh7xknnxsexlr7n/1457%20West%20Milwaukee%20Inside.jpg?dl=0","DES2","Inline Strip","","","YES","2","12","0","NO","","Pending","0","NO","1","1","YES","NO","",""
"","1461 Oak Creek","CENTRAL","GREATER LAKES","Central","WISILLIN","Wisconsin South","1461","Oak Creek","8241 S Howell Ave","Oak Creek, WI 53154","2000","$6,208.67","9/30/2022","251","210","2105","$6,514.11","DLKNQ","https://www.dropbox.com/s/yhr9u38vbpt7sqw/1461%20Oak%20Creek%20Outside.jpg?dl=0","https://www.dropbox.com/s/koyqb9r9ruuty95/1461%20Oak%20Creek%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","","YES","2","12","0","NO","","Installed","3","YES","0","0","NO","NO","",""
"","1193 Tysons Corner","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Arlington","1193","Tysons Corner","8365 C Leesburg Pike","Vienna, VA 22182","3435","$25,081.23","9/30/2020","255","256","1868","$1,931.29","RZN0T","https://www.dropbox.com/s/fftldunms4kat1h/1193%20Tysons%20Corner%20Outside.jpg?dl=0","https://www.dropbox.com/s/qwexatct5b4mz4x/1193%20Tysons%20Corner%20Inside.jpg?dl=0","GEN","Inline Strip","","10/1/2015","YES","0","9","0","NO","","Installed","0","NO","1","1","NO","","97",""
"","1750 Fairfax","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Arlington","1750","Fairfax","13005 Lee Jackson Hwy Suite O","Fairfax, VA 22033","2250","$8,800.05","4/30/2017","98","118","1352","$2,581.72","VQHFI","https://www.dropbox.com/s/uw42h4ri2pjxfre/1750%20Fairfax%20Outside.jpg?dl=0","https://www.dropbox.com/s/etc255mcg0d99gz/1750%20Fairfax%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","","YES","0","11","0","NO","","Installed","2","YES","1","1","NO","NO","",""
"","1751 Herndon","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Arlington","1751","Herndon","342 Elden St","Herndon, VA 20170","1275","$5,324.69","5/31/2020","178","174","2016","$7,382.85","KOQHQ","https://www.dropbox.com/s/gzhr0mhf24ni8hu/1751%20Herndon%20Outside.jpg?dl=0","https://www.dropbox.com/s/3tfr2ix915213wc/1751%20Herndon%20Inside.jpg?dl=0","DES1s","Inline Strip","","","YES","0","11","0","NO","","Installed","2","NO","0","1","NO","NO","",""
"","1752 Dulles","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Arlington","1752","Dulles","2465 Centreville Rd Suite J13","Dulles, VA 20171","1492","$7,886.01","8/30/2020","153","165","1884","$5,701.72","7IGYB","https://www.dropbox.com/s/jdqw6ejb45xdj2c/1752%20Dulles%20Outside.jpg?dl=0","https://www.dropbox.com/s/ffb2vgrbp51yj5z/1752%20Dulles%20Inside.jpg?dl=0","DES1","End Cap Strip","","","YES","0","11","0","NO","","Installed","2","YES","1","0","NO","NO","",""
"","1753 South Riding","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Arlington","1753","South Riding","25050 Riding Plaza Suite 150","South Riding, VA 20152","1185","$5,522.00","2/29/2020","150","148","1645","$3,738.91","IGIGO","https://www.dropbox.com/s/voiwzamtuvtmk8l/1753%20South%20Riding%20Outside.jpg?dl=0","","DES1","Inline Strip","Complete","11/22/2016","YES","2","11","1","NO","","Installed","2","YES","0","0","NO","NO","",""
"","1764 Burke Center","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Arlington","1764","Burke Center","5765 Burke Centre Pkwy Suite X","Burke, VA 22015","950","$6,021.31","6/30/17","128","144","1499","$5,577.37","3WU5I","https://www.dropbox.com/s/ngefm4brcghfneb/1764%20Burke%20Center%20Outside.jpg?dl=0","https://www.dropbox.com/s/4pb1dmwkcsn9vyk/1764%20Burke%20Center%20Inside.jpg?dl=0","DES1s","End Cap Strip","","","YES","2","10","0","NO","","Installed","2","NO","1","0","NO","YES","",""
"","1767 Lake Ridge","EAST ","MID-ATLANTIC","Northeast","Atlantic Region","Arlington","1767","Lake Ridge","12423 Hedges Run Dr","Lake Ridge, VA 22192","1040","$4,277.52","12/31/2019","32","57","941","$2,326.37","BTETG","https://www.dropbox.com/s/no6f1tte4wzwkbt/1767%20Lake%20Ridge%20Outside.jpg?dl=0","https://www.dropbox.com/s/zqdoap8vtf1tcr7/1767%20Lake%20Ridge%20Inside.jpg?dl=0","GEN","Inline Strip","","","YES","0","14","0","NO","","Installed","0","NO","0","0","NO","","",""
